feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats2	Original	AdaBoost	0.63700	0.03917	0.49303	0.05881	0.48913	0.11215	0.48662	0.07429	0.72276	0.03302
orig_stats2	Original	DT	0.64400	0.02716	0.49183	0.07250	0.51135	0.24030	0.47856	0.15224	0.68268	0.05285
orig_stats2	Original	ExtraTrees	0.66600	0.03836	0.53520	0.05830	0.51413	0.08798	0.52196	0.06672	0.73438	0.04119
orig_stats2	Original	GaussianNB	0.59300	0.05458	0.46982	0.03591	0.99444	0.01757	0.63749	0.03458	0.68560	0.03850
orig_stats2	Original	GradientBoosting	0.62500	0.03440	0.47570	0.05071	0.44389	0.10821	0.45397	0.06808	0.71460	0.03666
orig_stats2	Original	HistGradientBoosting	0.65200	0.03521	0.51733	0.06078	0.50310	0.09558	0.50569	0.06132	0.72095	0.02852
orig_stats2	Original	KNN	0.63800	0.03293	0.49346	0.04440	0.49722	0.10129	0.49183	0.06830	0.63580	0.04325
orig_stats2	Original	LR	0.62300	0.04001	0.47683	0.05648	0.46437	0.07863	0.46706	0.05239	0.70438	0.04237
orig_stats2	Original	RF	0.64100	0.03071	0.50117	0.04763	0.48063	0.11482	0.48367	0.06890	0.71489	0.03819
orig_stats2	Original	SVC	0.62600	0.03565	0.44821	0.08182	0.33841	0.17456	0.37026	0.15084	0.70905	0.03921
