feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats3	Original	AdaBoost	0.64600	0.04904	0.51186	0.07611	0.47190	0.06211	0.48869	0.05833	0.71875	0.03632
orig_stats3	Original	DT	0.64600	0.03864	0.51171	0.06363	0.52214	0.10685	0.51057	0.05593	0.65667	0.03547
orig_stats3	Original	ExtraTrees	0.65100	0.04606	0.51225	0.06616	0.50849	0.09664	0.50816	0.07566	0.72696	0.04287
orig_stats3	Original	GaussianNB	0.61700	0.05187	0.48500	0.03695	0.99167	0.01875	0.65075	0.03478	0.70043	0.04276
orig_stats3	Original	GradientBoosting	0.64800	0.02860	0.50791	0.04531	0.48056	0.09503	0.49047	0.06647	0.71700	0.04095
orig_stats3	Original	HistGradientBoosting	0.64900	0.03107	0.51560	0.05970	0.49444	0.08300	0.49988	0.04832	0.72559	0.04618
orig_stats3	Original	KNN	0.65400	0.03373	0.52110	0.04914	0.51683	0.06909	0.51565	0.04246	0.63047	0.03768
orig_stats3	Original	LR	0.62100	0.03695	0.46935	0.05370	0.42786	0.08389	0.44440	0.06125	0.68794	0.03939
orig_stats3	Original	RF	0.64300	0.03974	0.50460	0.06028	0.49722	0.07616	0.49791	0.05759	0.71341	0.05064
orig_stats3	Original	SVC	0.61900	0.05043	0.44286	0.11457	0.25175	0.09960	0.31637	0.10302	0.68783	0.04311
