feat_mode	scenario	model	variant	accuracy	precision	recall	f1	auc
mega_full	Original	KNN	grid_best_fold4	0.62000	0.45833	0.30556	0.36667	0.69314
mega_full	Original	KNN	grid_best_fold5	0.60000	0.42857	0.33333	0.37500	0.66146
mega_full	Original	KNN	grid_best_fold6	0.69000	0.60870	0.38889	0.47458	0.73394
mega_full	Original	KNN	grid_best_fold7	0.58000	0.42105	0.44444	0.43243	0.62891
mega_full	Original	KNN	grid_best_fold8	0.63000	0.48387	0.41667	0.44776	0.66037
mega_full	Original	KNN	grid_best_fold9	0.60000	0.44737	0.47222	0.45946	0.63563
mega_full	Original	LR	grid_best_fold1	0.66000	0.51282	0.57143	0.54054	0.70286
mega_full	Original	LR	grid_best_fold10	0.64000	0.50000	0.55556	0.52632	0.70530
mega_full	Original	LR	grid_best_fold2	0.63000	0.47500	0.54286	0.50667	0.66945
mega_full	Original	LR	grid_best_fold3	0.68000	0.56250	0.50000	0.52941	0.74436
mega_full	Original	LR	grid_best_fold4	0.64000	0.50000	0.41667	0.45455	0.70964
mega_full	Original	LR	grid_best_fold5	0.69000	0.56098	0.63889	0.59740	0.73655
mega_full	Original	LR	grid_best_fold6	0.66000	0.53333	0.44444	0.48485	0.77691
mega_full	Original	LR	grid_best_fold7	0.60000	0.44444	0.44444	0.44444	0.66102
mega_full	Original	LR	grid_best_fold8	0.67000	0.54286	0.52778	0.53521	0.75955
mega_full	Original	LR	grid_best_fold9	0.66000	0.52941	0.50000	0.51429	0.72222
mega_full	Original	RF	grid_best_fold1	0.62000	0.46809	0.62857	0.53659	0.67956
mega_full	Original	RF	grid_best_fold10	0.62000	0.47368	0.50000	0.48649	0.69748
mega_full	Original	RF	grid_best_fold2	0.67000	0.52941	0.51429	0.52174	0.70154
mega_full	Original	RF	grid_best_fold3	0.73000	0.64516	0.55556	0.59701	0.80078
mega_full	Original	RF	grid_best_fold4	0.66000	0.54545	0.33333	0.41379	0.73220
mega_full	Original	RF	grid_best_fold5	0.66000	0.53571	0.41667	0.46875	0.72135
mega_full	Original	RF	grid_best_fold6	0.65000	0.51724	0.41667	0.46154	0.75651
mega_full	Original	RF	grid_best_fold7	0.61000	0.45946	0.47222	0.46575	0.66536
mega_full	Original	RF	grid_best_fold8	0.68000	0.54545	0.66667	0.60000	0.75564
mega_full	Original	RF	grid_best_fold9	0.67000	0.53846	0.58333	0.56000	0.74262
mega_full	Original	SVC	grid_best_fold1	0.66000	0.51852	0.40000	0.45161	0.69780
mega_full	Original	SVC	grid_best_fold10	0.61000	0.43478	0.27778	0.33898	0.67188
mega_full	Original	SVC	grid_best_fold2	0.64000	0.48000	0.34286	0.40000	0.65714
mega_full	Original	SVC	grid_best_fold3	0.67000	0.60000	0.25000	0.35294	0.72569
mega_full	Original	SVC	grid_best_fold4	0.64000	0.50000	0.11111	0.18182	0.71962
mega_full	Original	SVC	grid_best_fold5	0.68000	0.56667	0.47222	0.51515	0.74262
mega_full	Original	SVC	grid_best_fold6	0.63000	0.40000	0.05556	0.09756	0.71875
mega_full	Original	SVC	grid_best_fold7	0.63000	0.47368	0.25000	0.32727	0.66710
mega_full	Original	SVC	grid_best_fold8	0.70000	0.60714	0.47222	0.53125	0.74392
mega_full	Original	SVC	grid_best_fold9	0.62000	0.41667	0.13889	0.20833	0.72201
orig	Original	AdaBoost	grid_best_fold1	0.62000	0.45455	0.42857	0.44118	0.64791
orig	Original	AdaBoost	grid_best_fold10	0.65000	0.51429	0.50000	0.50704	0.69770
orig	Original	AdaBoost	grid_best_fold2	0.63000	0.47222	0.48571	0.47887	0.65670
orig	Original	AdaBoost	grid_best_fold3	0.69000	0.58621	0.47222	0.52308	0.77517
orig	Original	AdaBoost	grid_best_fold4	0.66000	0.54167	0.36111	0.43333	0.75065
orig	Original	AdaBoost	grid_best_fold5	0.60000	0.43333	0.36111	0.39394	0.66450
orig	Original	AdaBoost	grid_best_fold6	0.69000	0.59259	0.44444	0.50794	0.75043
orig	Original	AdaBoost	grid_best_fold7	0.56000	0.39474	0.41667	0.40541	0.63194
orig	Original	AdaBoost	grid_best_fold8	0.66000	0.52778	0.52778	0.52778	0.72895
orig	Original	AdaBoost	grid_best_fold9	0.70000	0.58824	0.55556	0.57143	0.77235
orig	Original	DT	grid_best_fold1	0.55000	0.39583	0.54286	0.45783	0.55253
orig	Original	DT	grid_best_fold10	0.62000	0.48333	0.80556	0.60417	0.70638
orig	Original	DT	grid_best_fold2	0.62000	0.45161	0.40000	0.42424	0.65846
orig	Original	DT	grid_best_fold3	0.71000	0.62069	0.50000	0.55385	0.66406
orig	Original	DT	grid_best_fold4	0.65000	0.51724	0.41667	0.46154	0.60221
orig	Original	DT	grid_best_fold5	0.61000	0.45161	0.38889	0.41791	0.56163
orig	Original	DT	grid_best_fold6	0.64000	0.50000	0.44444	0.47059	0.59722
orig	Original	DT	grid_best_fold7	0.66000	0.52778	0.52778	0.52778	0.63108
orig	Original	DT	grid_best_fold8	0.65000	0.51111	0.63889	0.56790	0.70464
orig	Original	DT	grid_best_fold9	0.67000	0.52727	0.80556	0.63736	0.73633
orig	Original	ExtraTrees	grid_best_fold1	0.64000	0.48780	0.57143	0.52632	0.64352
orig	Original	ExtraTrees	grid_best_fold10	0.68000	0.55263	0.58333	0.56757	0.73872
orig	Original	ExtraTrees	grid_best_fold2	0.64000	0.48718	0.54286	0.51351	0.66967
orig	Original	ExtraTrees	grid_best_fold3	0.72000	0.63333	0.52778	0.57576	0.82878
orig	Original	ExtraTrees	grid_best_fold4	0.69000	0.57143	0.55556	0.56338	0.73741
orig	Original	ExtraTrees	grid_best_fold5	0.69000	0.57576	0.52778	0.55072	0.76562
orig	Original	ExtraTrees	grid_best_fold6	0.66000	0.53571	0.41667	0.46875	0.75087
orig	Original	ExtraTrees	grid_best_fold7	0.63000	0.48485	0.44444	0.46377	0.69987
orig	Original	ExtraTrees	grid_best_fold8	0.70000	0.56818	0.69444	0.62500	0.77626
orig	Original	ExtraTrees	grid_best_fold9	0.69000	0.55814	0.66667	0.60759	0.74653
orig	Original	GaussianNB	grid_best_fold1	0.55000	0.43750	1.00000	0.60870	0.67253
orig	Original	GaussianNB	grid_best_fold10	0.61000	0.47945	0.97222	0.64220	0.69010
orig	Original	GaussianNB	grid_best_fold2	0.56000	0.44156	0.97143	0.60714	0.61143
orig	Original	GaussianNB	grid_best_fold3	0.63000	0.49275	0.94444	0.64762	0.69141
orig	Original	GaussianNB	grid_best_fold4	0.64000	0.50000	1.00000	0.66667	0.68924
orig	Original	GaussianNB	grid_best_fold5	0.70000	0.54545	1.00000	0.70588	0.76345
orig	Original	GaussianNB	grid_best_fold6	0.70000	0.54839	0.94444	0.69388	0.82118
orig	Original	GaussianNB	grid_best_fold7	0.62000	0.48649	1.00000	0.65455	0.73568
orig	Original	GaussianNB	grid_best_fold8	0.57000	0.45333	0.94444	0.61261	0.65082
orig	Original	GaussianNB	grid_best_fold9	0.62000	0.48529	0.91667	0.63462	0.69792
orig	Original	GradientBoosting	grid_best_fold1	0.63000	0.47059	0.45714	0.46377	0.67626
orig	Original	GradientBoosting	grid_best_fold10	0.66000	0.52500	0.58333	0.55263	0.72917
orig	Original	GradientBoosting	grid_best_fold2	0.61000	0.44118	0.42857	0.43478	0.67824
orig	Original	GradientBoosting	grid_best_fold3	0.73000	0.62857	0.61111	0.61972	0.80230
orig	Original	GradientBoosting	grid_best_fold4	0.69000	0.58621	0.47222	0.52308	0.77930
orig	Original	GradientBoosting	grid_best_fold5	0.65000	0.51852	0.38889	0.44444	0.76194
orig	Original	GradientBoosting	grid_best_fold6	0.63000	0.48000	0.33333	0.39344	0.74870
orig	Original	GradientBoosting	grid_best_fold7	0.60000	0.44444	0.44444	0.44444	0.66189
orig	Original	GradientBoosting	grid_best_fold8	0.63000	0.48571	0.47222	0.47887	0.68316
orig	Original	GradientBoosting	grid_best_fold9	0.67000	0.53846	0.58333	0.56000	0.78125
orig	Original	HistGradientBoosting	grid_best_fold1	0.59000	0.41667	0.42857	0.42254	0.63451
orig	Original	HistGradientBoosting	grid_best_fold10	0.65000	0.51282	0.55556	0.53333	0.71788
orig	Original	HistGradientBoosting	grid_best_fold2	0.59000	0.40625	0.37143	0.38806	0.62945
orig	Original	HistGradientBoosting	grid_best_fold3	0.72000	0.61765	0.58333	0.60000	0.81944
orig	Original	HistGradientBoosting	grid_best_fold4	0.66000	0.52941	0.50000	0.51429	0.73003
orig	Original	HistGradientBoosting	grid_best_fold5	0.66000	0.53571	0.41667	0.46875	0.76280
orig	Original	HistGradientBoosting	grid_best_fold6	0.70000	0.60000	0.50000	0.54545	0.77821
orig	Original	HistGradientBoosting	grid_best_fold7	0.59000	0.44186	0.52778	0.48101	0.63889
orig	Original	HistGradientBoosting	grid_best_fold8	0.65000	0.51220	0.58333	0.54545	0.73915
orig	Original	HistGradientBoosting	grid_best_fold9	0.62000	0.47727	0.58333	0.52500	0.72613
orig	Original	KNN	grid_best_fold1	0.58000	0.41860	0.51429	0.46154	0.56484
orig	Original	KNN	grid_best_fold10	0.64000	0.50000	0.61111	0.55000	0.66059
orig	Original	KNN	grid_best_fold2	0.63000	0.47059	0.45714	0.46377	0.62308
orig	Original	KNN	grid_best_fold3	0.68000	0.57143	0.44444	0.50000	0.75868
orig	Original	KNN	grid_best_fold4	0.61000	0.45455	0.41667	0.43478	0.56771
orig	Original	KNN	grid_best_fold5	0.65000	0.51852	0.38889	0.44444	0.71050
orig	Original	KNN	grid_best_fold6	0.64000	0.50000	0.38889	0.43750	0.58507
orig	Original	KNN	grid_best_fold7	0.51000	0.31429	0.30556	0.30986	0.58984
orig	Original	KNN	grid_best_fold8	0.69000	0.56098	0.63889	0.59740	0.74805
orig	Original	KNN	grid_best_fold9	0.66000	0.52500	0.58333	0.55263	0.74457
orig	Original	LR	grid_best_fold1	0.69000	0.55556	0.57143	0.56338	0.72747
orig	Original	LR	grid_best_fold10	0.64000	0.50000	0.55556	0.52632	0.71528
orig	Original	LR	grid_best_fold2	0.65000	0.50000	0.48571	0.49275	0.68088
orig	Original	LR	grid_best_fold3	0.66000	0.52632	0.55556	0.54054	0.70790
orig	Original	LR	grid_best_fold4	0.67000	0.54286	0.52778	0.53521	0.74783
orig	Original	LR	grid_best_fold5	0.62000	0.45833	0.30556	0.36667	0.72135
orig	Original	LR	grid_best_fold6	0.63000	0.48148	0.36111	0.41270	0.77604
orig	Original	LR	grid_best_fold7	0.60000	0.43750	0.38889	0.41176	0.68012
orig	Original	LR	grid_best_fold8	0.61000	0.45946	0.47222	0.46575	0.68273
orig	Original	LR	grid_best_fold9	0.63000	0.48387	0.41667	0.44776	0.72700
orig	Original	RF	grid_best_fold1	0.57000	0.39474	0.42857	0.41096	0.62220
orig	Original	RF	grid_best_fold10	0.65000	0.51220	0.58333	0.54545	0.73069
orig	Original	RF	grid_best_fold2	0.61000	0.44118	0.42857	0.43478	0.67121
orig	Original	RF	grid_best_fold3	0.75000	0.67742	0.58333	0.62687	0.81272
orig	Original	RF	grid_best_fold4	0.67000	0.56000	0.38889	0.45902	0.72743
orig	Original	RF	grid_best_fold5	0.66000	0.53333	0.44444	0.48485	0.75065
orig	Original	RF	grid_best_fold6	0.66000	0.53571	0.41667	0.46875	0.77148
orig	Original	RF	grid_best_fold7	0.60000	0.44444	0.44444	0.44444	0.67144
orig	Original	RF	grid_best_fold8	0.62000	0.47619	0.55556	0.51282	0.72135
orig	Original	RF	grid_best_fold9	0.67000	0.53659	0.61111	0.57143	0.74067
orig	Original	SVC	grid_best_fold1	0.62000	0.45946	0.48571	0.47222	0.68923
orig	Original	SVC	grid_best_fold10	0.65000	0.57143	0.11111	0.18605	0.74262
orig	Original	SVC	grid_best_fold2	0.64000	0.48718	0.54286	0.51351	0.66901
orig	Original	SVC	grid_best_fold3	0.63000	0.47826	0.30556	0.37288	0.71137
orig	Original	SVC	grid_best_fold4	0.65000	0.55556	0.13889	0.22222	0.72352
orig	Original	SVC	grid_best_fold5	0.64000	0.50000	0.41667	0.45455	0.70226
orig	Original	SVC	grid_best_fold6	0.59000	0.22222	0.05556	0.08889	0.68576
orig	Original	SVC	grid_best_fold7	0.63000	0.48837	0.58333	0.53165	0.66753
orig	Original	SVC	grid_best_fold8	0.60000	0.45000	0.50000	0.47368	0.72005
orig	Original	SVC	grid_best_fold9	0.67000	0.56000	0.38889	0.45902	0.71723
orig_stats	Original	AdaBoost	grid_best_fold1	0.63000	0.47500	0.54286	0.50667	0.65648
orig_stats	Original	AdaBoost	grid_best_fold10	0.60000	0.44444	0.44444	0.44444	0.68294
orig_stats	Original	AdaBoost	grid_best_fold2	0.67000	0.53125	0.48571	0.50746	0.69890
orig_stats	Original	AdaBoost	grid_best_fold3	0.68000	0.56667	0.47222	0.51515	0.77235
orig_stats	Original	AdaBoost	grid_best_fold4	0.69000	0.58065	0.50000	0.53731	0.74023
orig_stats	Original	AdaBoost	grid_best_fold5	0.65000	0.51724	0.41667	0.46154	0.69987
orig_stats	Original	AdaBoost	grid_best_fold6	0.66000	0.53125	0.47222	0.50000	0.75260
orig_stats	Original	AdaBoost	grid_best_fold7	0.59000	0.43243	0.44444	0.43836	0.68967
orig_stats	Original	AdaBoost	grid_best_fold8	0.68000	0.55263	0.58333	0.56757	0.73524
orig_stats	Original	AdaBoost	grid_best_fold9	0.70000	0.57500	0.63889	0.60526	0.78277
orig_stats	Original	DT	grid_best_fold1	0.59000	0.43182	0.54286	0.48101	0.58330
orig_stats	Original	DT	grid_best_fold10	0.61000	0.46154	0.50000	0.48000	0.68989
orig_stats	Original	DT	grid_best_fold2	0.60000	0.43243	0.45714	0.44444	0.57055
orig_stats	Original	DT	grid_best_fold3	0.71000	0.62963	0.47222	0.53968	0.65582
orig_stats	Original	DT	grid_best_fold4	0.65000	0.51351	0.52778	0.52055	0.62326
orig_stats	Original	DT	grid_best_fold5	0.66000	0.53333	0.44444	0.48485	0.61285
orig_stats	Original	DT	grid_best_fold6	0.65000	0.51429	0.50000	0.50704	0.73980
orig_stats	Original	DT	grid_best_fold7	0.60000	0.44737	0.47222	0.45946	0.57205
orig_stats	Original	DT	grid_best_fold8	0.54000	0.40000	0.55556	0.46512	0.59701
orig_stats	Original	DT	grid_best_fold9	0.62000	0.48148	0.72222	0.57778	0.67470
orig_stats	Original	ExtraTrees	grid_best_fold1	0.59000	0.42500	0.48571	0.45333	0.61802
orig_stats	Original	ExtraTrees	grid_best_fold10	0.62000	0.47368	0.50000	0.48649	0.73698
orig_stats	Original	ExtraTrees	grid_best_fold2	0.61000	0.44444	0.45714	0.45070	0.67956
