feat_mode	scenario	model	accuracy_mean	accuracy_std	precision_mean	precision_std	recall_mean	recall_std	f1_mean	f1_std	auc_mean	auc_std
orig_stats3	Original	AdaBoost	0.65500	0.04035	0.52331	0.05729	0.49730	0.06712	0.50722	0.04952	0.71992	0.03620
orig_stats3	Original	DT	0.62500	0.03689	0.44464	0.17682	0.37873	0.23515	0.38351	0.16643	0.67921	0.05094
orig_stats3	Original	ExtraTrees	0.66200	0.03293	0.52892	0.05111	0.53381	0.09449	0.52792	0.05954	0.73524	0.03201
orig_stats3	Original	GaussianNB	0.61700	0.05187	0.48500	0.03695	0.99167	0.01875	0.65075	0.03478	0.70043	0.04276
orig_stats3	Original	GradientBoosting	0.65500	0.03629	0.51793	0.05508	0.46389	0.11315	0.48523	0.08096	0.71938	0.04160
orig_stats3	Original	HistGradientBoosting	0.65400	0.02875	0.52140	0.04761	0.49444	0.08704	0.50311	0.04784	0.72409	0.03691
orig_stats3	Original	KNN	0.64000	0.03464	0.50054	0.05514	0.48905	0.08374	0.49087	0.05376	0.60677	0.03476
orig_stats3	Original	LR	0.61300	0.04001	0.46049	0.05159	0.43056	0.07581	0.44152	0.05350	0.68688	0.03965
orig_stats3	Original	RF	0.66000	0.03528	0.52982	0.05891	0.50317	0.08392	0.51248	0.05546	0.71965	0.05120
orig_stats3	Original	SVC	0.60500	0.03536	0.41119	0.07594	0.24040	0.09962	0.29474	0.09402	0.68052	0.04495
