model	Básico	Forma	Dinâmico	Estresse	Recente	Picos	Complexo	Integral
AdaBoost	6.132776617954083	0.5467640918580319	2.0237995824634814	-1.9315240083507157	-5.639248434237976	-4.693110647181631	-1.3000000000000012	-3.2369519832985083
DT	-3.186308476978117	-4.590712390961082	-0.34178057725977595	-2.6832995977099983	-5.892055114313988	-4.4171870150707555	-18.270523913904867	-8.508013593146435
ExtraTrees	-6.765012256584601	-5.466674721778286	-6.970234531897335	-5.543747494219531	-5.347495684107805	-5.93222355863846	-11.308278274814775	-9.29541572614082
GaussianNB	-0.6620460404673012	-1.3640990628480232	0.5193184293166286	-1.5255171945065316	0.04587673215559196	0.5474314436342054	0.24004189148068011	0.3251532699915183
GradientBoosting	2.9022393935510093	-8.296762879005204	-0.2122001883963276	4.873890424949723	-8.557791490426581	1.2571284411322603	0.5769891987459363	-7.329960103109345
HistGradientBoosting	1.8348368193507714	-3.6736546255085822	-0.49861859757796	-1.454055431260315	-5.70375884774319	0.29976830656783804	-1.4172313032954742	-0.9114469294648875
KNN	2.685440832337238	4.136643714540655	8.514032222764678	-2.827909560767017	2.6385124328692333	10.022896008350312	-0.8125136786814591	-4.400537046078212
LR	4.079708745202448	-0.8360557986411443	-6.693695358231643	-3.5556516700120055	-1.4128125236203548	-0.6431036944344104	4.471491799010674	7.786110807837354
RF	1.1467182323561254	4.768952508080648	0.39682459667256254	1.306617574409663	2.7330084264735044	-1.0267433161873285	-0.27221199466866963	3.0707529383772636
SVC	19.37440888872406	-1.8157878701979158	-16.18446115819394	26.07883603069938	1.9919622112661628	9.528779999311233	13.341828557198387	-9.795823211035659
