model	Básico	Forma	Dinâmico	Estresse	Recente	Picos	Complexo	Integral
AdaBoost	1.9770370689554007	-4.549692299857789	0.25383792761703994	-0.7916766230154249	-6.285818372695173	-4.042212307222215	-2.928341709723792	-5.491595535899652
DT	-2.8290554239772447	2.211384005117867	2.6188867074303346	-0.7016987969445054	1.422449147392868	-0.8119972645980078	-13.265696976017082	-3.994007785066378
ExtraTrees	-5.170109678992329	-3.6032931195359885	-6.096047486622391	-5.114197774156226	-4.1737778665850485	-2.756181931838808	-6.375790328523689	-6.3948553714841765
GaussianNB	-1.0141246476024768	-3.2965724270616614	-0.41415051917680357	-3.379936388779947	0.10328096735046088	-0.20286599551148088	-0.36487132998370697	-0.4180517883212498
GradientBoosting	4.285870576007889	-5.9019122117420775	-0.7724647760750658	5.595387873436097	-7.399563950080889	1.749474473887802	1.1602600670485463	-6.247899849179861
HistGradientBoosting	3.226042805316598	0.4788270519461957	2.102244823598376	-1.1958794734090672	-4.39103021085816	0.4265481678627614	-0.2677312548516442	0.11346894159021126
KNN	3.3785964302559313	3.0376751152264347	7.799195690489769	0.8715421724631689	2.708131635346578	13.080166157767103	1.1166828025055864	0.6034390023913927
LR	0.5184636974307377	-3.0790353825186356	-5.094047373508214	-0.9817243568745027	-0.1470058923682127	2.3888963032163257	2.009350140939614	4.366904059950905
RF	0.8290621698814338	4.3837787080871715	-1.2864353065456635	2.2498924058061753	1.6907938495245967	-1.4812786102742725	2.384874212606114	2.8622011815798487
SVC	1.0763795762370743	-7.420041571677616	-7.20610667828886	10.282285101247135	-2.1623977470833	11.067830561888115	2.4844525278261864	4.714110902507707
